%FAMILY th

&&MAP_house_road    魔女の庭園

&&MAP_house_center    小悪魔の丘
&&MAP_house_barn    訓練所
&&MAP_house_cliff    コルネール家の墓地
&&MAP_house_cliff_cave    魔女の隠れ家
&&MAP_house_shop    メインエリア
&&MAP_house_theroom    休憩室
&&MAP_house_noelroom    ノエルの自室
&&MAP_house_atelier    魔女のアトリエ

// ========================
&&MAP_forest_clocktower     朽ちた時計塔
&&MAP_forest_ruin_station     石碑の街道 - 西休憩所
&&MAP_forest_ruin_road     石碑の街道 - 古代遺跡群
&&MAP_forest_ruin_hall     石碑の街道 - 茨の梯子
&&MAP_forest_ruin_station_r     石碑の街道 - 東休憩所
&&MAP_forest_hiroba     街を臨む丘
&&MAP_forest_hiroba_u     巨木への隠れ道
&&MAP_forest_cliff_portal     酸の巨木 - 黒い宝石の門
&&MAP_forest_coroseum_frog     蛙の黒沼
&&MAP_forest_frog_left    蛙の黒沼 - 黒い宝石の門



// ========================
&&MAP_city_entrance_left    森の関所

&&MAP_city_market_left    森軍地区
&&MAP_city_center    中央地区／天辺施設前
&&MAP_city_market_BL    中流層地区
&&MAP_city_slam    下流層地区
&&MAP_city_farm    牧場地区
&&MAP_city_park    公園地区
&&MAP_city_entrance_right    美術館地区
&&MAP_city_entrance_rightcave    山軍駐屯地
&&MAP_city_scl_ground    ベルミット校庭
&&MAP_city_scl_dorm    ベルミット寮生地区
&&MAP_city_mine    巨石の目蓋

&&MAP_city_in_dojo    フィーオレット道場
