// to / from
%ALIAS BgOut TopDark
%ALIAS BgIn Bright
%ALIAS BgTop Bright
%ALIAS BgBottom BrightBottom
%ALIAS SMCpTopBase SMCpBackBase
%ALIAS SMCpBright Bright
%ALIAS SMCpFrontDark SMCpBackDark
%ALIAS WaterSurfaceTop Bright
%ALIAS WaterSurfaceBottom BgBottom
%ALIAS TopMul BackMul
%ALIAS BackMulBottom BackMul 
%ALIAS TopMulBottom TopMul 
%ALIAS SMMul BackMul 
%ALIAS SMMulBottom BackMulBottom 

/* ___ _ ___ */
TopDark			ff:#494E3C
BackBase		ff:#ffffff
BackMul         ff:#ffffff
SMCpBackDark		33:#63695C

// Bright で使用。 MtrChipBg の LightLevel で使っている
BgLightLevel    1e:#770000        b7:#d10000        54:#a00000

Bright			33:#E6E9DB
BrightBottom		33:#E6E9DB
Water			ff:#A7D9E6
WaterBottom		ff:#6AA3B1
BlurScreenColor       11:#000000 11:#000000 11:#000000 // ImageWithLAB で使用。 アルファが BlurLevel, RGB はスクリーン色に対応する
SMCpBright ff:#ffffff


BehindChipSub		00:#121113,00:#365E5C,00:#7E925B
RenderMulTop		55:#555753,ff:#9C0B10,ff:#000108

/* ___ forest ___ */
LightMul		ff:#ffffff,ff:#D1C4BB,ff:#D8E5EC // 
LightMulDark		ff:#B9C0B7,ff:#AA8272,ff:#59438F

BackBase		ff:#ffffff,ff:#FF53A1,ff:#583CF8 // カレントマップの背景色
BackMul		ff:#ffffff,ff:#FF53A1,ff:#583CF8 // カレントマップの背景色
TopMul		ff:#D5DACA,ff:#FFACD1,ff:#BAADFF // カレントマップの背景色
TopDark			ff:#CDD1C3,ff:#FFACD1,ff:#8787AF
SMCpBackDark		bb:#63695C,cc:#A06A62,ff:#361463
Bright			00:#B5BBA5,22:#FFA38B,66:#7C6A86
BrightBottom		44:#E6E9DB,ff:#A6FCA3,ff:#5DB3EC//アルファはdrawUColでのブレンドで用いる
SMCpBackBase		ff:#D5DAD1,ff:#BB6F5C,ff:#21174D
BehindChipSub		00:#121113,00:#365E5C,00:#7E925B
RenderMulTop		33:#91928F,ff:#9C0B10,ff:#000108
RenderMulBottom		ff:#ffffff,ff:#ffffff,ff:#ffffff


Water			ff:#8095A8,ff:#B99CAD,ff:#A9ABE9
WaterBottom		ff:#BED2DD,ff:#F5E0AA,ff:#E8E8F7
WaterLightBase		ff:#758179,ff:#677F85,ff:#4C56A5

OutGradation		ff:#484D47,ff:#7C6358,ff:#D86585

BgTopRain		ff:#596159,ff:#7C4B72,ff:#2C3236
BgBottomRain		ff:#596159,ff:#7C4B72,ff:#2C3236

ScapeFill		ff:#CCFFCC,ff:#A78670,ff:#282C31
ScapeFillRain		ff:#86AC86,ff:#966F78,ff:#282C31
ScapeTopDark		ff:#494E3C,ff:#F75252,ff:#3833D4
ScapeTopDarkRain		ff:#7A867A,ff:#462F36,ff:#282C31
ScapeBackDark		ff:#63695C,ff:#F75252,ff:#0D2731
ScapeBackDarkRain		ff:#2A3320,ff:#29162C,ff:#282C31
ScapeBright		ff:#C5FFCD,ff:#FF7D7D,ff:#2E377C
ScapeBrightRain		ff:#555A55,ff:#462F36,ff:#282C31
ScapeLightMulDark		ff:#3D4D2C,22:#F75252,00:#282c31
ScapeLightMulDarkRain		ff:#546B53,ff:#462F36,ff:#0E1318
ScapeBackFill		00:#ffffff,44:#F75252,cd:#020A66
ScapeBackFillRain		ff:#2A3320,ff:#361A23,ff:#0E1318
ScapeBackBottom     00:#9CAF8E, 00:#BB4343 00:#3643CF
ScapeBackBottomRain		00:#63695C,00:#361A23,00:#0E1318

BgTop			ff:#7E8678,ff:#DF467E,ff:#3833D4
BgOut           ff:#7E8678,ff:#F75252,ff:#28178A


/* ___ forest_hiroba ___ */
%CLONE forest
Bright ff:#C5FFCD 22:#F75252,66:#7C6A86
BgTop			ff:#C5FFCD,ff:#DF467E,ff:#3833D4
BgOut           ff:#CCFFCC,ff:#BB4343,ff:#28178A


/* ___ forest_in_tree ___ */
%CLONE forest
Bright ff:#3DFFC2
BrightBottom ff:#00925D
SMCpBackDark	55:#352C27
SMCpTopBase 44:#ACA59F
SMCpBright ff:#448674

BgIn			ff:#314B45
BgOut			ff:#302219
BgBottom		ff:#547068 
BgTop			ff:#302219

/* ___ glacier ___ */
LightMul		ff:#57C1FF
LightMulDark		ff:#00329E
BlurScreenColor       aa:#7CC6FF// ImageWithLAB で使用。 アルファが BlurLevel, RGB はスクリーン色に対応する

BackBase		ff:#ffffff
TopDark			ff:#002EC4
